"QCNO","VHTID","WEIGHT","VBYBAYID","VRWROWNO","VTRTIERNO","CNTSIZE","GROUPID","CTYPECD","LDULD","WORKFLOW","WORKSEQ","DSTPORT","THROUGHFLAG"
"","18111","2200","01","00","10","20","","GP","D","1","","CNSHA","N"
"","18111","2200","01","01","14","20","","GP","D","3","","CNSHA","N"
"","18111","2200","03","00","14","20","","GP","D","3","","CNSHA","N"
"","18111","2200","01","01","16","20","","GP","D","3","","CNSHA","N"
"","18111","3600","02","01","86","40","","GP","D","3","","CNNTG","N"
"","18111","2200","03","00","10","20","","GP","D","1","","CNSHA","N"
"","18111","2200","03","01","14","20","","GP","D","3","","CNSHA","N"
"","18111","2200","01","00","14","20","","GP","D","3","","CNSHA","N"
"","18111","2200","03","01","16","20","","GP","D","3","","CNSHA","N"
"","18111","2200","03","00","16","20","","GP","D","3","","CNSHA","N"
"","18111","2200","03","00","12","20","","GP","D","1","","CNSHA","N"
"","18111","2200","03","03","16","20","","GP","D","1","","CNSHA","N"
"","18111","2200","01","00","12","20","","GP","D","1","","CNSHA","N"
"","18111","2200","03","11","82","20","","GP","D","3","","CNSHA","N"
"","18111","2200","01","09","84","20","","GP","D","3","","CNSHA","N"
"","18111","2200","03","11","86","20","","GP","D","1","","CNSHA","N"
"","18111","3600","02","05","84","40","","GP","D","3","","CNCKG","N"
"","18111","3600","02","00","84","40","","GP","D","3","","CNNTG","N"
"","18111","3600","02","07","84","40","","GP","D","1","","CNNTG","N"
"","18112","2200","07","01","06","20","","GP","D","1","","CNSHA","N"
"","18112","2200","07","02","06","20","","GP","D","1","","CNSHA","N"
"","18112","2200","07","09","14","20","","GP","D","1","","CNSHA","N"
"","18111","3600","02","03","84","40","","GP","D","3","","CNNTG","N"
"","18145","3600","58","12","84","40","","GP","D","1","","CNNTG","N"
"","18111","3600","02","07","82","40","","GP","D","1","","CNNTG","N"
"","18111","3600","02","00","82","40","","GP","D","3","","CNNTG","N"
"","18111","3600","02","03","86","40","","GP","D","3","","CNSHA","N"
"","18111","3600","02","05","82","40","","GP","D","3","","CNSHA","N"
"","18111","3600","02","07","86","40","","GP","D","1","","CNSHA","N"
"","18111","3600","02","03","82","40","","GP","D","3","","CNSHA","N"
"","18111","2200","01","09","82","20","","GP","D","3","","CNSHA","N"
"","18111","2200","01","11","84","20","","GP","D","3","","CNSHA","N"
"","18111","2200","03","03","14","20","","GP","D","1","","CNSHA","N"
"","18111","2200","03","01","10","20","","GP","D","1","","CNSHA","N"
"","18111","2200","03","01","12","20","","GP","D","1","","CNSHA","N"
"","18111","2200","01","00","16","20","","GP","D","3","","CNSHA","N"
"","18111","3600","02","01","82","40","","GP","D","3","","JPSMZ","N"
"","18111","2200","03","05","16","20","","GP","D","1","","CNSHA","N"
"","18111","2200","01","03","16","20","","GP","D","1","","CNSHA","N"
"","18111","2200","01","11","82","20","","GP","D","3","","CNSHA","N"
"","18111","2200","03","09","82","20","","GP","D","3","","CNSHA","N"
"","18111","2200","01","09","86","20","","GP","D","1","","CNSHA","N"
"","18111","2200","03","11","84","20","","GP","D","3","","CNSHA","N"
"","18111","2200","03","09","84","20","","GP","D","3","","CNSHA","N"
"","18111","2200","01","11","86","20","","GP","D","1","","CNSHA","N"
"","18111","3600","02","05","86","40","","GP","D","3","","CNNTG","N"
"","18111","3600","02","01","84","40","","GP","D","3","","CNNTG","N"
"","18145","3600","58","09","06","40","","GP","D","3","","CNCKG","N"
"","18115","2200","17","12","08","20","","GP","D","1","","CNSHA","N"
"","18111","3600","02","03","18","40","","GP","D","3","","CNCKG","N"
"","18111","3600","02","07","18","40","","GP","D","1","","CNCKG","N"
"","18111","3600","02","00","18","40","","GP","D","3","","CNCKG","N"
"","18111","3600","02","05","18","40","","GP","D","3","","CNCKG","N"
"","18111","3600","02","01","18","40","","GP","D","3","","CNCKG","N"
"","18122","3600","46","02","16","40","","GP","D","3","","CNCWN","N"
"","18122","3600","46","00","04","40","","GP","D","3","","CNCGU","N"
"","18122","3600","46","00","06","40","","GP","D","3","","CNCGU","N"
"","18122","3600","46","02","06","40","","GP","D","3","","CNCGU","N"
"","18122","3600","46","00","08","40","","GP","D","3","","CNCGU","N"
"","18145","3600","58","13","12","40","","GP","D","3","","CNNTG","N"
"","18145","3600","58","14","14","40","","GP","D","1","","CNNTG","N"
"","18145","3600","58","11","16","40","","GP","D","3","","CNNTG","N"
"","18145","3600","58","11","14","40","","GP","D","3","","CNNTG","N"
"","18145","3600","58","07","10","40","","GP","D","3","","CNNTG","N"
"","18145","3600","58","07","12","40","","GP","D","3","","CNNTG","N"
"","18145","3600","58","07","14","40","","GP","D","3","","CNNTG","N"
"","18145","3600","58","07","16","40","","GP","D","3","","CNNTG","N"
"","18145","3600","58","13","18","40","","GP","D","1","","CNNTG","N"
"","18145","3600","58","11","12","40","","GP","D","3","","CNNTG","N"
"","18145","3600","58","13","16","40","","GP","D","3","","CNNTG","N"
"","18145","3600","58","13","14","40","","GP","D","3","","CNCKG","N"
"","18145","3600","58","09","10","40","","GP","D","3","","CNNTG","N"
"","18145","3600","58","09","12","40","","GP","D","3","","CNNTG","N"
"","18145","3600","58","09","14","40","","GP","D","3","","CNSHA","N"
"","18145","3600","58","09","16","40","","GP","D","3","","CNSHA","N"
"","18145","3600","58","11","04","40","","GP","D","1","","CNSHA","N"
"","18145","3600","58","09","02","40","","GP","D","3","","CNNTG","N"
"","18145","3600","58","07","04","40","","GP","D","3","","CNNTG","N"
"","18145","3600","58","14","06","40","","GP","D","1","","CNNTG","N"
"","18145","3600","58","07","02","40","","GP","D","3","","CNSHA","N"
"","18145","3600","58","09","04","40","","GP","D","3","","CNSHA","N"
"","18145","3600","58","12","82","40","","GP","D","1","","CNNTG","N"
"","18111","3600","02","00","86","40","","GP","D","3","","CNNTG","N"
"","18145","3600","58","07","06","40","","GP","D","3","","CNNTG","N"
"","18148","3600","70","14","82","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","03","92","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","05","94","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","16","92","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","10","94","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","00","94","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","10","86","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","09","86","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","10","88","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","15","88","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","10","90","40","","GP","D","3","","CNSHA","N"
"","18115","2200","17","05","08","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","05","10","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","05","12","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","05","14","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","05","16","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","05","18","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","06","04","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","06","06","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","06","08","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","06","10","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","06","12","20","","GP","D","1","","CNTCG","N"
"","18115","2200","17","06","14","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","06","16","20","","GP","D","1","","CNTCG","N"
"","18115","2200","17","06","18","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","08","04","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","08","06","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","08","08","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","08","10","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","08","12","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","08","14","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","08","16","20","","GP","D","1","","CNTCG","N"
"","18115","2200","17","08","18","20","","GP","D","1","","CNTCN","N"
"","18115","2200","17","10","06","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","10","08","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","10","10","20","","GP","D","1","","CNTCG","N"
"","18115","2200","17","10","12","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","10","14","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","10","16","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","10","18","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","12","10","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","12","12","20","","GP","D","1","","CNSHA","N"
"","18115","2200","17","12","14","20","","GP","D","1","","CNSHA","N"
"","18145","3600","58","13","06","40","","GP","D","3","","JPSMZ","N"
"","18145","3600","58","11","06","40","","GP","D","3","","JPSMZ","N"
"","18145","3600","58","14","12","40","","GP","D","1","","CNSHA","N"
"","18145","3600","58","09","08","40","","GP","D","3","","JPSMZ","N"
"","18145","3600","58","07","08","40","","GP","D","3","","CNNTG","N"
"","18145","3600","58","13","08","40","","GP","D","3","","CNCKG","N"
"","18149","3600","74","03","86","40","","GP","D","1","","CNSHA","N"
"","18145","3600","58","11","08","40","","GP","D","3","","CNNTG","N"
"","18145","3600","58","14","08","40","","GP","D","1","","CNNTG","N"
"","18145","3600","58","14","10","40","","GP","D","1","","CNNTG","N"
"","18145","3600","58","13","10","40","","GP","D","3","","CNNTG","N"
"","18145","3600","58","11","10","40","","GP","D","3","","CNNTG","N"
"","18145","3600","58","14","16","40","","GP","D","1","","CNNTG","N"
"","18145","3600","58","14","18","40","","GP","D","1","","CNNTG","N"
"","18145","3600","58","14","82","40","","GP","D","1","","CNWUH","N"
"","18145","3600","58","14","84","40","","GP","D","1","","CNNTG","N"
"","18146","2200","61","13","82","20","","GP","D","1","","CNSHA","N"
"","18148","3600","70","16","82","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","12","82","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","09","82","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","13","84","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","08","92","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","00","92","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","04","94","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","11","86","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","12","86","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","16","88","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","09","88","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","16","90","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","09","90","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","15","90","40","","GP","D","1","","CNSHA","N"
"","18148","3600","70","10","82","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","11","82","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","15","82","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","14","86","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","02","92","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","05","92","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","06","94","40","","GP","D","3","","CNSHA","N"
"","18146","3600","62","11","18","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","13","18","40","","GP","D","1","","CNSHA","N"
"","18146","3600","62","05","82","40","","RF","D","1","","CNSHA","N"
"","18146","3600","62","05","84","40","","RF","D","1","","CNSHA","N"
"","18146","3600","62","07","88","40","","GP","D","3","","CNSHA","N"
"","18146","3600","62","05","86","40","","GP","D","3","","CNSHA","N"
"","18146","3600","62","13","14","40","","GP","D","3","","CNSHA","N"
"","18146","3600","62","07","10","40","","GP","D","3","","CNSHA","N"
"","18146","3600","62","13","10","40","","GP","D","3","","CNSHA","N"
"","18146","3600","62","06","82","40","","RF","D","1","","CNSHA","N"
"","18146","3600","62","08","84","40","","GP","D","3","","CNWUH","N"
"","18146","3600","62","10","84","40","","GP","D","3","","CNSHA","N"
"","18146","3600","62","06","14","40","","GP","D","1","","CNCGU","N"
"","18146","3600","62","09","18","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","07","14","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","12","16","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","05","18","40","","GP","D","3","","CNSHA","N"
"","18146","3600","62","10","86","40","","GP","D","3","","CNWUH","N"
"","18146","3600","62","08","86","40","","GP","D","3","","CNWUH","N"
"","18146","3600","62","05","88","40","","GP","D","3","","CNSHA","N"
"","18146","3600","62","06","86","40","","GP","D","1","","CNSHA","N"
"","18146","3600","62","11","14","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","09","10","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","11","10","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","07","12","40","","GP","D","3","","CNSHA","N"
"","18146","3600","62","11","12","40","","GP","D","3","","CNSHA","N"
"","18146","3600","62","07","84","40","","GP","D","3","","CNZJG","N"
"","18146","3600","62","12","84","40","","GP","D","3","","CNWUH","N"
"","18146","3600","62","08","82","40","","GP","D","1","","CNSHA","N"
"","18146","3600","62","10","14","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","14","16","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","09","14","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","08","16","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","10","16","40","","GP","D","3","","CNSHA","N"
"","18146","3600","62","10","88","40","","GP","D","1","","CNWUH","N"
"","18146","3600","62","07","86","40","","GP","D","3","","CNNTG","N"
"","18146","3600","62","09","86","40","","GP","D","1","","CNSHA","N"
"","18146","3600","62","13","12","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","06","10","40","","GP","D","1","","CNCGU","N"
"","18146","3600","62","12","12","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","09","12","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","12","14","40","","GP","D","1","","CNCGU","N"
"","18146","3600","62","10","82","40","","RF","D","1","","CNSHA","N"
"","18146","3600","62","09","82","40","","GP","D","3","","CNWUH","N"
"","18146","3600","62","12","82","40","","GP","D","1","","CNSHA","N"
"","18148","3600","70","16","86","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","14","88","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","11","88","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","14","90","40","","GP","D","3","","CNSHA","N"
"","18148","3600","70","08","90","40","","GP","D","1","","CNSHA","N"
"","18148","3600","70","11","90","40","","GP","D","3","","CNSHA","N"
"","18146","3600","62","14","86","40","","GP","D","3","","CNSHA","N"
"","18146","3600","62","07","16","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","13","16","40","","GP","D","1","","CNCGU","N"
"","18146","3600","62","11","16","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","07","18","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","08","18","40","","GP","D","3","","CNSHA","N"
"","18146","3600","62","12","10","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","14","12","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","10","10","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","06","12","40","","GP","D","1","","CNCGU","N"
"","18146","3600","62","14","14","40","","GP","D","1","","CNCGU","N"
"","18146","3600","62","07","82","40","","GP","D","3","","CNZJG","N"
"","18146","3600","62","12","86","40","","GP","D","3","","CNSHA","N"
"","18146","3600","62","09","84","40","","GP","D","3","","CNSHA","N"
"","18146","3600","62","05","16","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","09","16","40","","GP","D","3","","CNSHA","N"
"","18146","3600","62","12","18","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","14","18","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","10","18","40","","GP","D","3","","CNCGU","N"
"","18146","3600","62","14","10","40","","GP","D","3","","CNCGU","N"
